short_company,th_company_name,eng_company_name,type_business,type_technology,product,type_innovation,detail,owner,province_base,address,phone_number,email,website,note,source,cluster
Telemedica,บริษัท เทเลเมดิก้า จำกัด,"Telemedica Co.,Ltd.","SW, Digital Service",,"เทคโนโลยีสารสนเทศ, แอพลิเคชั่น",ผลิตภัณฑ์,บริการ Platform ออนไลน์ ให้คำแนะนำ ปรึกษา ตอบปัญหาด้านสุขภาพจิต ผ่านทางโปรแกรมคอมพิวเตอร์แอปพลิเคชัน และกิจการบริการจัดทำโปรแกรมคอมพิวเตอร์แอปพลิเคชันเพื่อแนะนำปรึกษาด้านสุขภาพ ให้แก่บุคคล คณะบุคคล นิติบุคคล ส่วนราชการ,นางสาว กัญจน์ภัสสร สุริยาแสงเพ็ชร์,กรุงเทพมหานคร,"18,20 ซอยภุชงค์ ถนนกรุงเกษม แขวงคลองมหานาค เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100",09-0004-0006,support@ooca.co,http://www.ooca.co,,"http://www.mhesi.go.th/home/index.php/pr/news/1493-4-steps-ooca, http://www.facebook.com/oocaok/posts/793125224424388/, http://today.line.me/th/v2/article/Ooca+แอปปรึกษาจิตแพทย์ออนไลน์+นวัตกรรมใหม่ที่จะทำให้กล้าเปิดใจคุยกับจิตแพทย์มากขึ้น-95OOMq",0
Drivemate,บริษัท ไดร์ฟเมท จำกัด,"Drivemate Co., Ltd.",SW,,"เทคโนโลยีสารสนเทศ, แอพลิเคชั่น",ผลิตภัณฑ์,บริการ Platform แชร์/เช่า รถ peer-to-peer,"นางสาว ธัญญธร ฐิติเศรณี, นาย ศิลป์รัฐ สุขวัฒนศิริ",กรุงเทพมหานคร,1168 ถนนพระราม 9 แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,0-2026-3238,contact@drivemate.asia,http://www.drivemate.asia,,http://www.depa.or.th/th/article-view/20190709_01,0
VenueE,บริษัท เวนิวอี จำกัด,"Venuee Co., Ltd.","SW, Digital Service",,"เทคโนโลยีสารสนเทศ, แอพลิเคชั่น",ผลิตภัณฑ์,บริการ Platform รวมสถานที่จัดประชุมและผู้ให้บริการสำหรับงานอีเว้นท์,นาย พีรพัฒน์ จิตศักดานนท์,กรุงเทพมหานคร,"ห้อง 201 อาคาร The Park East เลขที่ 76 และ 78, ซอย สุขุมวิท 101/2 แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260",0-2120-6013 ext. 201,admin@venuee.co,http://www.venuee.co,,http://www.7innovationawards.com/award/detail-1163,0
HAUP,บริษัท ฮ้อปคาร์ จำกัด,"Haupcar Co., Ltd.",SW,,,,บริการ Platform แชร์/เช่า รถ peer-to-peer,นาย กฤษฏิ์ วิชัยวัฒนาพาณิชย์,กรุงเทพมหานคร,128/403 ชั้น 37 อาคารพญาไทพลาซ่า ถนนพญาไท แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,0-2080-3960,customers@haupcar.com,http://www.haupcar.com,,,0
SHIPPOP,บริษัท ชิปป๊อป จำกัด,"Shippop Co., Ltd.","SW, Digital Service",,"เทคโนโลยีสารสนเทศ, แอพลิเคชั่น",ผลิตภัณฑ์,บริการ Platform รวบรวมบริษัทขนส่งเพื่อให้เลือกใช้บริการ,"นาย ภาวุธ พงษ์วิทยภานุ, นาย สุทธิเกียรติ จันทรชัยโรจน์",กรุงเทพมหานคร,128/239-240 ชั้น 22 อาคารพญาไทพลาซ่า ถนนพญาไท แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,09-2905-3355,contact@shippop.com,http://www.shippop.com,,http://award.nia.or.th/th/award-winner/1091-ระบบจองขนส่งออนไลน์,0
AIRPORTELs,บริษัท แอร์พอเทลล์ จำกัด,"Airportels Co., Ltd.","SW, Digital Service",,"เทคโนโลยีสารสนเทศ, แอพลิเคชั่น",ผลิตภัณฑ์,บริการ Platform ขนส่งและรับฝากกระเป๋าสัมภาระจากสนามบินไปโรงแรมและจากโรงแรมไปสนามบิน,"นาย เด่นพิพัฒน์ ใจตรง, นาย อานันท์ ประเสริฐรุ่งเรือง, นาย อภิโชค ประเสริฐรุ่งเรือง",กรุงเทพมหานคร,29/217 หมู่บ้านพฤกษาวิลล์ 64 ถนนสายไหม แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10110,06-3216-6699,center@airportels.asia,http://www.airportels.asia,,"http://nia.bookcaze.com/viewer/2196/1/Innovation%20in%20Time%20of%20CRISIS, Page 19",0
FoodStory,ห้างหุ้นส่วนจำกัด ฟู้ด สตอรี่ส์,"Food Stories Ltd., Part.","HW/Smart Device, SW",,,,บริการ ระบบบริหารจัดการร้านอาหารแบบ POS (Point of sale) ที่แบ่งระบบจัดการร้านอาหารสำหรับเจ้าของร้านและสำหรับลูกค้า,"นาง ปาณิสรา ตันธนะ, นาย กุลทัศน์ ทัศนบรรจง",กรุงเทพมหานคร,4/11-12 ถนนรางน้ำ แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,09-8562-5555,info@foodstory.co,http://www.foodstory.co,,,4
BUILK,บริษัท บิลค์ เอเชีย จำกัด,"Builk Asia Co., Ltd.",SW,,,,บริการ Platform รวมธุรกิจก่อสร้างและอสังหาริมทรัพย์ และพัฒนาซอฟต์แวร์และโปรแกรมบริหารจัดการสำหรับธุรกิจก่อสร้าง,"นาย ไผท ผดุงถิ่น, นาย ธานี โลเกศกระวี",กรุงเทพมหานคร,ชั้น 14 อาคาร 253 อโศก ถนนสุขุมวิท 21 แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,0-2101-2851,support@builk.com,http://www.builk.com/th,,,4
BUILKONE,บริษัท บิลค์ วัน กรุ๊ป จำกัด,"Builk One Group Co., Ltd",SW,,,,บริการ Platform รวมธุรกิจก่อสร้างและอสังหาริมทรัพย์ และพัฒนาซอฟต์แวร์และโปรแกรมบริหารจัดการสำหรับธุรกิจก่อสร้าง,"นาย พงศวัฒน์ กฤษณามระ, นาย ธีรบูลย์ อริยสุทธิวงศ์, นาย ไผท ผดุงถิ่น",กรุงเทพมหานคร,ชั้น 14 อาคาร 253 อโศก ถนนสุขุมวิท 21 แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,0-2101-2851,support@builk.com,http://www.builk.one/th,,,4
SellSuki,บริษัท เซลสุกิ จำกัด,"Sellsuki Co., Ltd.",SW,,,,บริการ Platform ระบบบริหารจัดการการขายของออนไลน์แบบครบวงจร,"นาย อนุศักดิ์ อินทรภูวศักดิ์, นาย วุฒิศักดิ์ อินทรภูวศักดิ์",กรุงเทพมหานคร,10/39 ชั้นที่ 3 ถนนรัชดาภิเษก แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,0-2026-3250,hello@sellsuki.com,http://www.sellsuki.co.th,,,6
golfdigg,บริษัท กอล์ฟดิกก์ จำกัด,"Golfdigg Co., Ltd.","SW, Digital Service, Digital Content",,,,"บริการ Platform จองสนามกอล์ฟออนไลน์, บริการ Ticket และ Leisure สำหรับนักกอล์ฟ, บริการ Web Reserve ซึ่งเป็นเว็บไซต์ให้นักกอล์ฟสามารถจองสนามกอล์ฟที่ต้องการได้ผ่านเว็บไซต์ของสนาม","นาย ภูริชช์ อักษรทับ, นาย ธีระ ศิริเจริญ",กรุงเทพมหานคร,5 ซอยอารีย์ 4 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,08-9333-1000,hello@golfdigg.com,http://golfdigg.com,,,3
